NOmcap_MAF20_2025_MAF20_2030_T20_NT2040	2020	2021	2022	2023	2024	2025	2026	2027	2028																			
AVoe-Forbraending_KV_	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	1.68	1.68	1.68	1.68	1.68	1.68	1.68	1.68	1.68	1.68	1.68	DKV_affald	DK1	1	-			
Forbraendingsmotor_Biogas_Frederikshavn_	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0	0	DKV_GM	DK1	1	-			
Broenderslev_KV_	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	22.4	DKV_GM	DK1	1	-			
Broenderslev_ORC_CSP_	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	DKV_bio	DK1	1	-			
Thisted-Forbraending_KV_	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.3	2.31	2.31	2.31	2.31	2.31	2.31	2.31	2.31	2.31	2.31	2.31	DKV_affald	DK1	1	-			
Forbraendingsmotor_Naturgas_Thisted_	2.21	2.21	2.21	1.963333333	1.716666667	1.47	0.98	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_GM	DK1	1	-			
Maabjergvaerket_KV_	27	27	27	27	27	27	27	27	27	27	18.9	18.9	18.9	18.9	18.9	18.9	18.9	18.9	18.9	18.9	18.9	DKV_affald	DK1	1	-			
Forbraendingsmotor_Biogas_HolstebroStruer_	2.96	2.96	2.96	2.96	2.96	2.96	2.96	2.96	2.96	2.96	2.96	2.96	2.96	0	0	0	0	0	0	0	0	DKV_GM	DK1	1	-			
Viborg_KV_	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	DKV_CC	DK1	1	-			
Grenaa_KV_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_bio	DK1	1	-			
Forbraendingsmotor_Naturgas_Herning_	16.08	16.08	16.08	16.08	16.08	16.08	11.092	5.732	0.372	0	0	0	0	0	0	0	0	0	0	0	0	DKV_GM	DK1	1	-			
Forbraendingsmotor_Biogas_Herning_	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0	0	DKV_GM	DK1	1	-			
Silkeborg_KV_	54.25	54.25	54.25	54.25	54.25	54.25	54.25	54.25	54.25	54.25	54.25	54.25	54.25	54.25	54.25	54.25	54.25	54.25	54.25	54.25	54.25	DKV_CC	DK1	1	-			
Silkeborg_KV_Ombygget_	54.3	54.3	54.3	54.3	54.3	54.3	54.3	54.3	54.3	54.3	54.3	54.3	54.3	54.3	54.3	54.3	54.3	54.3	54.3	54.3	54.3	DKV_CC	DK1	1	-			
Lisbjerg_KV_	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	DKV_bio	DK1	1	-			
RenoSyd_KV_	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	2.85	1.995	1.995	1.995	1.995	1.995	1.995	1.995	1.995	1.995	1.995	1.995	CKV_affald	DK1	1	-			
aarhus-Forbraending_KV_Ovn4_	11.3	11.3	11.3	11.3	11.3	11.3	11.3	11.3	11.3	11.3	7.91	7.91	7.91	7.91	7.91	7.91	7.91	7.91	7.91	7.91	7.91	CKV_affald	DK1	1	-			
aarhus-Forbraending_KV_Ovn2_	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	3.15	3.15	3.15	3.15	3.15	3.15	3.15	3.15	3.15	3.15	3.15	CKV_affald	DK1	1	-			
aarhus-Forbraending_KV_Ovn1_	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	3.15	3.15	3.15	3.15	3.15	3.15	3.15	3.15	3.15	3.15	3.15	CKV_affald	DK1	1	-			
Forbraendingsmotor_Biogas_aarhus_	4.22	4.22	4.22	4.22	4.22	4.22	4.22	4.22	4.22	4.22	4.22	4.22	4.22	0	0	0	0	0	0	0	0	DKV_GM	DK1	1	-			
Horsens_KV_	33	33	33	33	33	33	33	33	7	7	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.9	DKV_CC	DK1	1	-			
L90-Esbjerg-Forbraending_KV_	18.5	18.5	18.5	18.5	18.5	18.5	18.5	18.5	18.5	18.5	12.95	12.95	12.95	12.95	12.95	12.95	12.95	12.95	12.95	12.95	12.95	CKV_affald	DK1	1	-			
Forbraendingsmotor_Biogas_Esbjerg_	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	0	0	DKV_GM	DK1	1	-			
TAS-Forbraending_KV_	6.26	6.26	6.26	6.26	6.26	6.26	6.26	6.26	6.26	6.26	4.382	4.382	4.382	4.382	4.382	4.382	4.382	4.382	4.382	4.382	4.382	CKV_affald	DK1	1	-			
Forbraendingsmotor_Biogas_TVIS_	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0	0	DKV_GM	DK1	1	-			
Soenderborg_KV_	57.98836056	57.98836056	57.98836056	57.98836056	57.98836056	57.98836056	57.98836056	57.98836056	57.98836056	57.98836056	40.59185239	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	DKV_CC	DK1	1	-			
Odense_KV_Affaldslinje11+12_	9	9	9	9	9	9	9	9	9	9	6.3	6.3	6.3	6.3	6.3	6.3	6.3	6.3	6.3	6.3	6.3	CKV_affald	DK1	1	-			
Odense_KV_Affaldslinje11+12_Levetidsforlaenget_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_affald	DK1	1	-			
Odense_KV_Affaldslinje13_	13	13	13	13	13	13	13	13	13	13	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	CKV_affald	DK1	1	-			
Odense_KV_Affaldslinje13_Levetidsforlaenget_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_affald	DK1	1	-			
DalumPapir_KV_	7.5	7.5	7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_bio	DK1	1	-			
Motor_Naturgas_Odense_	8.28	8.28	8.28	8.28	8.28	8.28	8.28	7.38	6.48	5.58	5.58	5.58	5.58	5.58	5.58	5.58	5.58	5.58	5.58	5.58	5.58	DKV_GM	DK1	1	-			
Motor_Biogas_Odense_	8.961	8.961	8.961	8.961	8.961	8.961	8.961	8.961	8.961	8.961	8.961	8.961	8.961	5.327	5.327	5.327	5.327	5.327	5.327	5.327	0	DKV_GM	DK1	1	-			
Motor_Olie_Odense_	32	32	32	32	32	32	21.33333334	10.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_GM	DK1	1	-			
Svendborg_KV_	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	3.15	3.15	3.15	3.15	3.15	3.15	3.15	3.15	3.15	3.15	3.15	DKV_affald	DK1	1	-			
Forbraendingsmotor_Naturgas_Svendborg_	16.5	16.5	16.5	11	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_GM	DK1	1	-			
Loegumkloster_KV_	6	6	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_GM	DK1	1	-			
Gasturbine_Naturgas_NG_DK-West_	74.476	69.176	65.436	56.436	46.436	36.436	35.436	35.436	35.436	35.436	35.436	35.436	35.436	35.436	35.436	35.436	35.436	35.436	35.436	35.436	35.436	DKV_GT	DK1	-	-			
Skive_KV_	6	6	6	6	6	4.666666666	3.333333334	1.333333333	0.666666667	0	0	0	0	0	0	0	0	0	0	0	0	DKV_GM	DK1	1	-			
Biomasse_KV_BIO_DK-West_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_bio	DK1	1	-			
Gasturbine_Naturgas_BIO_DK-West_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_GT	DK1	1	-			
Aars_KV_	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.023	2.023	2.023	2.023	2.023	2.023	2.023	2.023	2.023	2.023	2.023	DKV_affald	DK1	1	-			
Kombianlaeg_NG_	17	17	17	17	17	17	17	17	17	17	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	DKV_GM	DK1	1	-			
Gasturbine_Esbjerg_	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	Regulerkraft	DK1	1	-			
Forbraendingsmotor_Anholt_	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	DKV_GM	DK1	1	-			
Noedstroemsanlaeg_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Regulerkraft	DK1	1	-			
I/S_Reno_Nord_	7	7	7	7	7	7	7	7	7	7	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.9	CKV_affald	DK1	1	-			
Forbraendingsmotor_oestermoseBioenergi_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_GM	DK1	1	-			
Motorer_-_restomraader_-_DK1_	728.361	731.901	726.126	668.0367111	604.8189127	530.1108179	511.9483967	497.5535363	493.7286901	490.7807927	487.9654344	486.0703582	475.8829487	421.0906154	417.397282	412.9324487	409.088682	402.670382	398.278582	394.2840487	394.2840487	DKV_GM	DK1	-	-			
I/S_Reno_Nord_	17.9	17.9	17.9	17.9	17.9	17.9	17.9	17.9	17.9	17.9	12.53	12.53	12.53	12.53	12.53	12.53	12.53	12.53	12.53	12.53	12.53	CKV_affald	DK1	1	-			
oevrig_decentral_regulerkraft-Vest_	8.068	8.068	8.068	8.068	8.068	9.586343156	9.586343156	9.253009823	8.919676489	8.586343156	8.586343156	8.586343156	8.586343156	8.586343156	8.586343156	8.586343156	8.586343156	8.586343156	8.586343156	8.586343156	8.386343156	Regulerkraft	DK1	-	-			
Overskudsel_DK-West_	164.527	163.477	163.477	163.477	175.8492977	175.8492977	175.8492977	175.8492977	175.8492977	175.8492977	175.8492977	175.8492977	175.8492977	163.477	160.477	160.477	144.268	138.174	129.68	124.388	120.683	ICHP	DK1	1	ICHP			
Havvind_DKV	1256.4	1256.4	1256.4	1256.4	1606.4	1606.4	2106.4	2601.4	2437.4	2395.9	2895.9	3395.9	3395.9	3395.9	3395.9	3186.6	3186.6	3186.6	3136.2	2787	2787	Wind	DK1	1	WS_DK1			
Kystvind_DKV	0	0	0	0	0	0	65	130	200	200	200	200	200	200	200	200	200	200	200	200	200	Wind	DK1	1	WS_DK1			
Landvind_DKV	3714.544	3913.344	3931.344	4040.834	4024.384	4165.185	4283.205	4302.285	4407.315	4515.665	4601.12	4707.925	4742.655	4731.465	4667.695	4433	4290.97	4133.925	3775.11	3670.775	3345.35	Wind	DK1	1	WL_DK1			
Solceller_DKV	795	953	1417	2229	2557	3092	3631	4173	4514	4858	5205	5555	5848	6144	6443	6745	7050	7298	7549	7803	8060	Solar	DK1	1	PV_DK1			
VandkraftDK	6.93	6.93	6.93	6.93	6.93	6.93	6.93	6.93	6.93	6.93	6.93	6.93	6.93	6.93	6.93	6.93	6.93	6.93	6.93	6.93	6.93	ROR	DK1	1	HY_DELU			
DivKapDK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	StratRes	DK1	1	-			
ReservesDK-West	120	110	110	110	110	110	110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	RS	DK1	1	-			
																												
																												
																												
DK2cap																												
DK2cap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Amagervaerket_Blok_1	64	64	64	64	64	64	64	64	64	64	64	64	64	64	0	0	0	0	0	0	0	CKV_BP	DK2	1	-			
Amagervaerket_Blok_3	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_EX	DK2	1	-			
Amagervaerket_Blok_4	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	CKV_BP	DK2	1	-			
Asnaesvaerket_Blok_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_EX	DK2	1	-			
Asnaesvaerket_Blok_2.1	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_BP	DK2	1	-			
Asnaesvaerket_Blok_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_EX	DK2	1	-			
Asnaesvaerket_Blok_5	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_EX	DK2	1	-			
Asnaesvaerket_Blok_6	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	CKV_BP	DK2	1	-			
Avedoerevaerket_Blok_1	250	250	250	250	250	250	250	250	250	250	250	250	250	250	0	0	0	0	0	0	0	CKV_EX	DK2	1	-			
Avedoerevaerket_Blok_2	560	560	560	560	560	560	560	560	560	560	560	560	560	560	560	560	560	560	560	560	560	CKV_EX	DK2	1	-			
H.C._oerstedsvaerket_Sektion_2_(Blok_1-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_BP	DK2	1	-			
H.C._oerstedsvaerket_Blok_7	82	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_BP	DK2	1	-			
H.C._oerstedsvaerket_Blok_8	23.2	23.2	23.2	23.2	23.2	23.2	23.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_GT	DK2	1	-			
Kyndbyvaerket_Blok_21	262	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	CKV_EX	DK2	1	-			
Stigsnaesvaerket_Blok_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_EX	DK2	1	-			
Stigsnaesvaerket_Blok_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_EX	DK2	1	-			
Svanemoellevaerket_Blok_1-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_BP	DK2	1	-			
Svanemoellevaerket_Blok_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CKV_BP	DK2	1	-			
Kyndbyvaerket_Blok_22	260	260	260	260	260	260	260	260	260	260	260	260	260	260	260	260	260	260	260	260	260	KYV22	DK2	1	-			
Kyndbyvaerket_Blok_41	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	CKV_GT	DK2	1	-			
Kyndbyvaerket_Blok_51	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	CKV_GT	DK2	1	-			
Kyndbyvaerket_Blok_52	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	CKV_GT	DK2	1	-			
Masnedoevaerket_Blok_31	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	CKV_GT	DK2	1	-			
Helsingoer_KV_	59	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	DKV_CC	DK2	1	-			
Helsingoer_KV_GT_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_CC	DK2	1	-			
Helsingoer_KV_2_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_CC	DK2	1	-			
Nordforbraending_KV_	8	8	8	8	8	8	8	8	8	8	5.6	5.6	5.6	5.6	5.6	5.6	5.6	5.6	5.6	5.6	5.6	CKV_affald	DK2	1	-			
Forbraendingsmotor_Naturgas_Helsingoer_	4.98	4.98	4.98	3.651666667	1.991666666	0.331666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_GM	DK2	1	-			
Hilleroed_KV_	77	77	77	77	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_CC	DK2	1	-			
Hilleroed_KV_ORC_	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	DKV_bio	DK2	1	-			
Flisforgasser_Gasmotor_Hilleroed_	5	5	5	5	4.646666667	4.293333333	3.94	3.94	3.94	3.94	3.94	3.94	3.94	3.94	3.94	3.94	3.94	3.94	3.94	3.94	3.94	DKV_GM	DK2	1	-			
DTU_KV_	38.5	38.5	38.5	38.5	38.5	38.5	38.5	38.5	38.5	38.5	38.5	38.5	38.5	38.5	38.5	38.5	38.5	38.5	38.5	38.5	38.5	DKV_CC	DK2	1	-			
Koge_KV_Blok7_	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_bio	DK2	1	-			
Koge_KV_Blok8_	15	0	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	DKV_bio	DK2	1	-			
ARC_KV_AmagerBakke_	62	62	62	62	62	62	62	62	62	62	43.4	43.4	43.4	43.4	43.4	43.4	43.4	43.4	43.4	43.4	43.4	CKV_affald	DK2	1	-			
KARA-Forbraending_KV_Anlaeg5_	13.7	13.7	13.7	13.7	13.7	13.7	13.7	13.7	13.7	13.7	9.59	9.59	9.59	9.59	9.59	9.59	9.59	9.59	9.59	9.59	9.59	CKV_affald	DK2	1	-			
KARA-Forbraending_KV_Anlaeg6_	19.4	19.4	19.4	19.4	19.4	19.4	19.4	19.4	19.4	19.4	13.58	13.58	13.58	13.58	13.58	13.58	13.58	13.58	13.58	13.58	13.58	CKV_affald	DK2	1	-			
Vestforbraending_KV_Anlaeg5_	17	17	17	17	17	17	17	17	17	17	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	CKV_affald	DK2	1	-			
Vestforbraending_KV_Anlaeg6_	22	22	22	22	22	22	22	22	22	22	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	15.4	CKV_affald	DK2	1	-			
Forbraendingsmotor_Biogas_KBH_	3.047	3.047	3.047	3.047	3.047	3.047	3.047	3.047	3.047	3.047	3.047	3.047	3.047	0	0	0	0	0	0	0	0	DKV_GM	DK2	1	-			
Slagelse-Forbraending_KV_	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	7.63	7.63	7.63	7.63	7.63	7.63	7.63	7.63	7.63	7.63	7.63	DKV_affald	DK2	1	-			
MasnedoeKV_	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	DKV_bio	DK2	1	-			
MariboSakskoebing_KV_	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	DKV_bio	DK2	1	-			
Haslev_KV_	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DKV_bio	DK2	1	-			
Noedstroemsanlaeg_DK-East_	23.89	23.89	23.89	17.89	11.89	9.49	7.526666667	5.563333333	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	DKV_GM	DK2	1	-			
NykoebingFalster-Forbraending_KV_	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	4.69	4.69	4.69	4.69	4.69	4.69	4.69	4.69	4.69	4.69	4.69	DKV_affald	DK2	1	-			
Naestved-Forbraending_KV_	12.89	12.89	12.89	12.89	12.89	12.89	12.89	12.89	12.89	12.89	9.023	9.023	9.023	9.023	9.023	9.023	9.023	9.023	9.023	9.023	9.023	DKV_affald	DK2	1	-			
Motorer_-_restomraader_-_DK2_	144.457	146.272	146.088	143.7401481	140.1997037	135.4714815	132.7892593	131.2996296	130.9977778	130.9977778	130.4647778	129.9317778	122.3047778	115.8287778	115.2957778	114.7627778	114.2297778	114.2297778	114.2297778	110.9997778	110.9997778	DKV_GM	DK2	-	-			
oevrig_decentral_regulerkraft-oest_	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	Regulerkraft	DK2	-	-			
Overskudsel_DK-East_	48.19	48.19	48.19	48.19	53.49241329	53.49241329	53.49241329	53.49241329	53.49241329	53.49241329	53.49241329	53.49241329	53.49241329	48.19	48.19	48.19	42.815	42.815	42.815	41.825	40.165	ICHP	DK2	-	ICHP			
I/S_Norfors_	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	5.18	5.18	5.18	5.18	5.18	5.18	5.18	5.18	5.18	5.18	5.18	CKV_affald	DK2	1	-			
Havvind_DKoe	444.4	244.4	449.2	449.2	449.2	449.2	409.2	409.2	909.2	1243.6	1743.6	2243.6	2243.6	2243.6	2243.6	2215.4	2008.4	2004.8	2004.8	2004.8	2004.8	Wind	DK2	1	WS_DK2			
Kystvind_DKoe	0	0	0	0	0	0	160	330	500	500	500	500	500	500	500	500	500	500	500	500	500	Wind	DK2	1	WS_DK2			
Landvind_DKoe	742.426	742.426	742.426	734.702	729.472	792.342	774.887	788.057	811.852	823.947	849.642	851.587	857.882	869.404	884.494	898.605	890.55	847.415	824.415	782.645	715.285	Wind	DK2	1	WL_DK2			
Solceller_DKoe	341	409	608	758	977	1334	1693	2054	2281	2510	2741	2974	3169	3366	3565	3766	3969	4135	4303	4473	4645	Solar	DK2	1	PV_DK2			
DivKapDK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	StratRes	DK2	1	-			
ReservesDK-East	120	110	110	110	110	110	110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	-110	RS	DK2	1	-			
																												
																												
DKBOcap																												
DKBOcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
oestkraft_Blok_6	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	CKV_EX	DKBO	1	-			
oestkraft_Dieselvaerk	19.6	19.6	19.6	19.6	19.6	19.6	19.6	19.6	19.6	19.6	19.6	19.6	19.6	19.6	19.6	19.6	19.6	19.6	19.6	19.6	19.6	CKV_DI	DKBO	4	-			
oestkraft_Blok_5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	27.5	KYV22	DKBO	1	-			
oestkraft_Blok_7	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	CKV_DI	DKBO	3	-			
VindBornholm	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	Wind	DKBO	1	WL_DK2			
PVBornholm	3.41	4.09	6.08	7.58	9.77	13.34	16.93	20.54	22.81	25.1	27.41	29.74	31.69	33.66	35.65	37.66	39.69	41.35	43.03	44.73	46.45	Solar	DKBO	1	PV_DK2			
EnergioeEast	0	0	0	0	0	0	0	0	0	0	2250	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	Wind	DKBO	1	WS_DKKF			
																												
DKKFcap																												
DKKFcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
HavvindKF	0	200	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	Wind	DKKF	1	WS_DKKF			
																												
DKEIcap																												
DKEIcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
EnergioeVest	0	0	0	0	0	0	0	0	0	0	0	0	0	2250	3000	3000	3000	3000	3000	3000	3000	Wind	DKEI	1	WS_DK1			
																												
																												
																												
