NOmcap_MAF20_2025_MAF20_2030_T20_NT2040	2020	2021	2022	2023	2024	2025	2026	2027	2028																			
Hard_Coal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	SE2	-	-			
Gas	53.7480011	53.74800088	53.74800066	53.74800044	53.74800022	53.748	53.748	53.748	53.748	53.748	53.748	53.6732	53.5984	53.5236	53.4488	53.374	53.2992	53.2244	53.1496	53.0748	53	GasUdland	SE2	-	-			
Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OlieUdland	SE2	-	-			
Hydro-Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ROR	SE2	-	No_RoR			
Hydro-turbine	8055	8059.02	8063.04	8067.06	8071.08	8075.1	8075.1	8075.1	8075.1	8075.1	8075.1	8073.09	8071.08	8069.07	8067.06	8065.05	8063.04	8061.03	8059.02	8057.01	8055	HydroRes	SE2	-	-			
Hydro-pump	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HydroPumpOL	SE2	-	-			
Wind-on-shore	3979.833126	4317.492301	4655.151476	4992.81065	5330.469825	5668.129	5820.7172	5973.3054	6125.8936	6278.4818	6431.07	6583.563	6736.056	6888.549	7041.042	7193.535	7346.028	7498.521	7651.014	7803.507	7956	Wind	SE2	-	WL_SE2			
Wind-off-shore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Wind	SE2	-	WS_SE2			
Solar-PV	29.99999933	37.82863346	45.6572676	53.48590173	61.31453587	69.14317	92.190896	115.238622	138.286348	161.334074	184.3818	199.94362	215.50544	231.06726	246.62908	262.1909	277.75272	293.31454	308.87636	324.43818	340	Solar	SE2	-	PV_SE2			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	SE2	-	PV_SE2			
Other_RES	591.8571167	618.2056934	644.55427	670.9028467	697.2514233	723.6	723.6	723.6	723.6	723.6	723.6	708.74	693.88	679.02	664.16	649.3	634.44	619.58	604.72	589.86	575	MustRun	SE2	-	OtherRes_SE2			
Othernon-RES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OtherNONRE	SE2	-	ICHP			
Biofuels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Biofuels	SE2	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	SE2	-	-			
DSR	0	51.48	102.96	154.44	205.92	257.4	270.6	283.8	297	310.2	323.4	291.06	258.72	226.38	194.04	161.7	129.36	97.02	64.68	32.34	0	DSR	SE2	-	-			
Battery	0	0	0	0	0	0	0	0	0	0	0	59.1	118.2	177.3	236.4	295.5	354.6	413.7	472.8	531.9	591	Battery	SE2	-	-			
ReservesSE2	0	-208	-416	-624	-832	-1040	-1040	-1040	-1040	-1040	-1040	-1040	-1040	-1040	-1040	-1040	-1040	-1040	-1040	-1040	-1040	RS	SE2	-	-			
																												
SE3cap_MAF20_2025_MAF20_2030_T20_NT2040																												
SE3cap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	6835	6835	6835	6835	6835	6835	6835	6835	6835	6835	6835	6151.5	5468	4784.5	4101	3417.5	2734	2050.5	1367	683.5	0	NuclearSweden	SE3	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	SE3	-	-			
Hard_Coal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	SE3	-	-			
Gas	324.0410004	324.0410003	324.0410002	324.0410001	324.0410001	324.041	270.641	217.241	163.841	110.441	57.041	83.7369	110.4328	137.1287	163.8246	190.5205	217.2164	243.9123	270.6082	297.3041	324	GasUdland	SE3	-	-			
Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OlieUdland	SE3	-	-			
Hydro-Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ROR	SE3	-	No_RoR			
Hydro-turbine	2911	2845.4	2779.8	2714.2	2648.6	2583	2583	2583	2583	2583	2583	2615.8	2648.6	2681.4	2714.2	2747	2779.8	2812.6	2845.4	2878.2	2911	HydroRes	SE3	-	-			
Hydro-pump	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HydroPumpOL	SE3	-	-			
Wind-on-shore	3207.334995	3191.069596	3174.804197	3158.538798	3142.273399	3126.008	3241.687	3357.366	3473.045	3588.724	3704.403	3909.2627	4114.1224	4318.9821	4523.8418	4728.7015	4933.5612	5138.4209	5343.2806	5548.1403	5753	Wind	SE3	-	WL_SE3			
Wind-off-shore	0	66.8057	133.6114	200.4171	267.2228	334.0285	445.4248	556.8211	668.2174	779.6137	891.01	978.909	1066.808	1154.707	1242.606	1330.505	1418.404	1506.303	1594.202	1682.101	1770	Wind	SE3	-	WS_SE3			
Solar-PV	722.8571177	910.4442941	1098.031471	1285.618647	1473.205824	1660.793	1883.2562	2105.7194	2328.1826	2550.6458	2773.109	3006.7981	3240.4872	3474.1763	3707.8654	3941.5545	4175.2436	4408.9327	4642.6218	4876.3109	5110	Solar	SE3	-	PV_SE3			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	SE3	-	PV_SE3			
Other_RES	2432.142822	2422.514258	2412.885693	2403.257129	2393.628564	2384	2404	2424	2444	2464	2484	2498.9	2513.8	2528.7	2543.6	2558.5	2573.4	2588.3	2603.2	2618.1	2633	MustRun	SE3	-	OtherRes_SE3			
Othernon-RES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OtherNONRE	SE3	-	ICHP			
Biofuels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Biofuels	SE3	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	SE3	-	-			
DSR	0	149.09142	298.18284	447.27426	596.36568	745.4571	783.68568	821.91426	860.14284	898.37142	936.6	842.94	749.28	655.62	561.96	468.3	374.64	280.98	187.32	93.66	0	DSR	SE3	-	-			
Battery	0	0	0	0	0	0	0	0	0	0	0	281.2	562.4	843.6	1124.8	1406	1687.2	1968.4	2249.6	2530.8	2812	Battery	SE3	-	-			
Reserves_SE3	-818	-680.4	-542.8	-405.2	-267.6	-130	-130	-130	-130	-130	-130	-130	-130	-130	-130	-130	-130	-130	-130	-130	-130	RS	SE3	-	-			
																												
SE4cap_MAF20_2025_MAF20_2030_T20_NT2040																												
