Information about parameters in run for file test.txt
Options: 
Simulation year: 2035
Climate year: 1985
TYNDP report: 2030
UsePlannedDownTime: True
UseUnplannedDownTime: True
demFlexKlassisk: 0.25
demFlexCVP: 0.95
demFlexPtX: 1
demFlexTransport: 0.2
Storebaelt2: False
oresundOpen: False
EnergyIslandEast: True
EnergyIslandWest: True
DK1
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Hydro-turbine	HydroRes_DELU	1296.87	25	0.11	0.05	48.0	0.0	HYlimit_DELU
Wind-on-shore	Wind_DELU	86537.9932	1	0.0	0.0	0.0	0.0	WL_DELU
Wind-off-shore	Wind_DELU	28322.15	1	0.0	0.0	0.0	0.0	WS_DELU
Solar-PV	Solar_DELU	95365.93698	1	0.0	0.0	0.0	0.0	PV_DELU
Othernon-RES	MustRun_DELU	18254.33722	1	0.0	0.0	0.0	0.0	OtherNonRes_DELU
Lignite	KulUdland_DELU	4467.1	11	0.073972603	0.091666667	48.0	0.0	-
Hard_Coal	KulUdland_DELU	4020.4	10	0.073972603	0.091666667	48.0	0.0	-
Gas	GasUdland_DELU	21055.3275	210	0.073972603	0.05	48.0	0.0	-
Oil	OlieUdland_DELU	531.495	10	0.073972603	0.093333333	48.0	0.0	-
Hydro-pump	HydroPumpCL_DELU	10186.5	203	0.05	0.2	48.0	0.0	-
Other_RES	OtherRes_DELU_DELU	5988.292857	119	0.341902962	0.0	0.0	0.0	-
DSR	DSR_DELU	1824.5	182	0.05	0.25	48.0	0.0	-
Battery	Battery_DELU	6192.0	619	0.05	0.2	48.0	0.0	-
ReservesDELU	RS_DELU	-5379.0	1	0.0	0.0	0.0	0.0	-
demandDELU	demandDELU	621.1498960389227	1	0	0	0	0	DELUdemand


AT
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Hydro-Run	ROR_AT	6281.267325	1	0.0	0.0	0.0	0.0	HY_AT
Wind-on-shore	Wind_AT	10999.5	1	0.0	0.0	0.0	0.0	WL_AT
Solar-PV	Solar_AT	17000.0	1	0.0	0.0	0.0	0.0	PV_AT
Gas	GasUdland_AT	2519.35	25	0.073972603	0.05	48.0	0.0	-
Oil	OlieUdland_AT	84.203	1	0.073972603	0.093333333	48.0	0.0	-
Hydro-turbine	HydroRes_AT	2431.4	48	0.11	0.05	48.0	0.0	-
Hydro-pump	HydroPumpCL_AT	6142.5	122	0.05	0.2	48.0	0.0	-
Other_RES	OtherRes_AT_AT	599.9575	11	0.354679803	0.0	0.0	0.0	-
Othernon-RES	OtherNonRes_AT_AT	953.12	19	0.431413613	0.0	0.0	0.0	-
Battery	Battery_AT	2469.017212	246	0.05	0.2	48.0	0.0	-
ReservesAT	RS_AT	-544.3173862	1	0.0	0.0	0.0	0.0	-
demandAT	demandAT	91.15270822325158	1	0	0	0	0	ATdemand


NL
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Hydro-Run	ROR_NL	44.5	1	0.0	0.0	0.0	0.0	HY_NL
Wind-on-shore	Wind_NL	8591.0	1	0.0	0.0	0.0	0.0	WL_NL
Wind-off-shore	Wind_NL	13704.0	1	0.0	0.0	0.0	0.0	WS_NL
Solar-PV	Solar_NL	25000.0	1	0.0	0.0	0.0	0.0	PV_NL
Nuclear	Borssele_NL	243.0	1	0.111	0.05	96.0	0.0	-
Hard_Coal	KulUdland_NL	1690.5	4	0.073972603	0.091666667	48.0	0.0	-
Gas	GasUdland_NL	10213.15	102	0.073972603	0.05	48.0	0.0	-
Other_RES	OtherRes_NL_NL	540.0	10	0.6	0.0	0.0	0.0	-
Othernon-RES	OtherNonRes_NL_NL	3771.885	75	0.579770115	0.0	0.0	0.0	-
Biofuels	Biofuels_NL	1690.5	33	0.073972603	0.091666667	48.0	0.0	-
